product.sku;product_description.name.hu;product.weight;product.weight_class_id;product.image;product_to_category.category_name;product.manufacturer_id;product.product_class_id;attr_values.anyag.hu;attr_values.rogzites.hu;attr_values.csaptipus.hu;attr_values.szemforma.hu;attr_values.osztas;attr_values.belsoheveder;attr_values.gorgoatmero;attr_values.csapatmero;attr_values.csaphossz;attr_values.huvelyatmero;attr_values.fogszam;attr_values.fogedzett.hu;attr_values.kivitel.hu;attr_values.hevederek_szama.hu;attr_values.lanckerektipus.hu;attr_values.feluletkezeles.hu;product_special.price;product_special.date_start;product_special.date_end;product_description.short_description.hu;product.quantity_2;product.alapar;product.tax_class_id;product_description.quantity_name.hu;product_image.image.0;attr_values.huzal_atmero;attr_values.belso_hossz
N-GLPSZ-3-04C1;04 C-1 patentszem;0.01;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;6,35;;;2,31;8,4;;;;;;;;;;;04C1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 6,35 mm., csaphosszúság: 8,4 mm., csapátmérő: 2,31 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;74.0;350.0;27.0;db;product/D-GLPSZ-1.png;;
N-SZL-9-11x31;11x31 mm DIN 766 kalibrált teherlánc;2.7;Kg.;product/N-SZL.png;Szemesláncok;Európai;Szemeslánc;Acél;;;;;;;;;;;;;;;Nincs;;;;Standard nincs, acél, 11 mm huzalátmérőjű, 31 mm belső hosszúságú <p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;994.95;3374.3;27.0;m;product/D-SZL.png;11;31
N-GL-1-08B1;08 B-1 görgőslánc;0.69;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;12,700;7,75;8,51;;;;;;;;;;;;;08B1: 1 soros, 12,700 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;713.83;1371.7;27.0;m;product/D-GL-1.png;;
N-SZL-9-10x28;10x28 mm DIN 766 kalibrált teherlánc;2.25;Kg.;product/N-SZL.png;Szemesláncok;Európai;Szemeslánc;Acél;;;;;;;;;;;;;;;Nincs;;;;Standard nincs, acél, 10 mm huzalátmérőjű, 28 mm belső hosszúságú <p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;138.0;2906.2;27.0;m;product/D-SZL.png;10;28
N-GL-8-208A1;208 A-1 ASA2040 nyújtott osztású görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;83.0;8283.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-7-24B1;24 B-1 patentszem;0.27;Kg.;product/N-GLPSZ-1.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Egyenes;38,100;;;14,63;58,5;;;;;;;;;;;24B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 38,100 mm., csaphosszúság: 58,5 mm., csapátmérő: 14,63 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;94.0;3777.0;27.0;db;product/D-GLPSZ-1.png;;
N-GL-5-24B1;24 B-1 cseh görgőslánc;7.1;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;38,100;25,40;25,40;;;;;;;;;;;;;24B1: 1 soros, 38,100 mm. osztású, 25,40 mm belső hevedertávolságú, 25,40 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;42.89;22070.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-5-24B1;24 B-1 cseh patentszem;0.27;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;38,100;;;14,63;58,5;;;;;;;;;;;24B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 38,100 mm., csaphosszúság: 58,5 mm., csapátmérő: 14,63 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;49.0;2210.0;27.0;db;product/D-GLPSZ-1.png;;
N-GL-4-208A1;208 A-1 ASA2040 nyújtott osztású görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;59.6;2201.1;27.0;m;product/D-GL-1.png;;
N-GL-6-208A1;208 A-1 ASA2040 nyújtott osztású cseh görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;30.0;2201.1;27.0;m;product/D-GL-1.png;;
N-GLPSZ-8-208A1;208 A-1 ASA2040 nyújtott osztású patentszem;0.01;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;25,4;;;3,96;17,8;;;;;;;;;;;208A1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,4 mm., csaphosszúság: 17,8 mm., csapátmérő: 3,96 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;134.0;839.3;27.0;db;product/D-GLPSZ-1.png;;
N-GLPSZ-4-208A1;208 A-1 ASA2040 nyújtott osztású patentszem;0.01;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;25,4;;;3,96;17,8;;;;;;;;;;;208A1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,4 mm., csaphosszúság: 17,8 mm., csapátmérő: 3,96 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;80.0;218.9;27.0;db;product/D-GLPSZ-1.png;;
N-GL-7-24B3;24 B-3 görgőslánc;20.7;Kg.;product/N-GL-3.png;Görgősláncok;Prémium;Görgőslánc;Acél;;Tömör;;38,100;25,40;25,40;;;;;;;;;;;;;24B3: 3 soros, 38,100 mm. osztású, 25,40 mm belső hevedertávolságú, 25,40 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;;179506.0;27.0;m;product/D-GL-3.png;;
N-GL-7-32B2;32 B-2 görgőslánc;19.0;Kg.;product/N-GL-2.png;Görgősláncok;Prémium;Görgőslánc;Acél;;Tömör;;50,800;30,99;29,21;;;;;;;;;;;;;32B2: 2 soros, 50,800 mm. osztású, 30,99 mm belső hevedertávolságú, 29,21 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;19.287;82667.0;27.0;m;product/D-GL-2.png;;
N-GLHOK-8-208A1;208 A-1 ASA2040 nyújtott osztású hajlított összekötőszem;0.01;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;25,4;;;3,96;17,8;;;;;;;;;;;208A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,4 mm., csaphosszúság: 17,8 mm., csapátmérő: 3,96 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;90.0;1410.2;27.0;db;product/D-GLHOK-1.png;;
N-GLHOK-4-208A1;208 A-1 ASA2040 nyújtott osztású hajlított összekötőszem;0.01;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;25,4;;;3,96;17,8;;;;;;;;;;;208A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,4 mm., csaphosszúság: 17,8 mm., csapátmérő: 3,96 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;87.0;1080.2;27.0;db;product/D-GLHOK-1.png;;
N-SSGLHOK-0-10B1;10 B-1 SS hajlított összekötőszem;0.015;Kg.;product/N-SSGLHOK-1.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Hajlított;15,875;;;5,08;23,7;;;;;;;;;;;10B1: 1 soros sasszeges rögzítésű rozsdamentes patentszem. Osztás: 15,875 mm., csaphosszúság: 23,7 mm., csapátmérő: 5,08 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;;6556.0;27.0;db;product/N-SSGLHOK-1.png;;
N-GLHOK-6-208A1;208 A-1 ASA2040 nyújtott osztású cseh hajlított összekötőszem;0.01;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;25,4;;;3,96;17,8;;;;;;;;;;;208A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,4 mm., csaphosszúság: 17,8 mm., csapátmérő: 3,96 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;6.0;1080.2;27.0;db;product/D-GLHOK-1.png;;
N-GL-4-208B1;208 B-1 nyújtott osztású görgőslánc;0.45;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,75;8,51;;;;;;;;;;;;;208B1: 1 soros, 25,4 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;110.0;2072.4;27.0;m;product/D-GL-1.png;;
N-KR-10-16B1_Z25;KR 16 B-1 Z=25 agyas lánckerék;6.03;Kg.;product/N-KR-1.png;Lánckerekek;Európai;Lánckerék;;;;;;;;;;;25;Normál;;;Agyas lánckerék;;;;;"16B1 egysoros, 25 fogú agyas lánckerék. <p style='color: red;'>Amennyiben a lánckereket megmunkálva kívánja beszerezni, vegye fel a kapcsolatot munkatársunkkal!</p><p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>";11.0;13900.8;27.0;db;product/D-KR-1.png;;
N-GL-6-208B1;208 B-1 nyújtott osztású cseh görgőslánc;0.44;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,75;8,51;;;;;;;;;;;;;208B1: 1 soros, 25,4 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;10.0;2072.4;27.0;m;product/D-GL-1.png;;
N-GLPSZ-5-16B1;16 B-1 cseh patentszem;0.07;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;476.0;765.0;27.0;db;product/D-GLPSZ-1.png;;
N-KR-10-06B2_Z18;KR 06 B-2 Z=18 agyas lánckerék;0.36;Kg.;product/N-KR-2.png;Lánckerekek;Európai;Lánckerék;;;;;;;;;;;18;Normál;;;Agyas lánckerék;;;;;"06B2 kétsoros, 18 fogú agyas lánckerék. <p style='color: red;'>Amennyiben a lánckereket megmunkálva kívánja beszerezni, vegye fel a kapcsolatot munkatársunkkal!</p><p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>";12.0;1580.8;27.0;db;product/D-KR-2.png;;
N-KR-5-10B1_Z20_G;"KR 10 B-1 Z=20 agyas lánckerék ""G""";0.93;Kg.;product/N-KR-1_G.png;Lánckerekek;Európai;Lánckerék;;;;;;;;;;;20;Fogedzett;;;Agyas lánckerék;;;;;"10B1 fogedzett, egysoros, 20 fogú agyas lánckerék. <p style='color: red;'>Amennyiben a lánckereket megmunkálva kívánja beszerezni, vegye fel a kapcsolatot munkatársunkkal!</p><p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>";5.0;3136.0;27.0;db;product/D-KR-1.png;;
N-GLPSZ-5-16B1_S;16 B-1 cseh sasszeges patentszem;0.07;Kg.;;;Európai;;;;;;;;;;;;;;;;;;;;;<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;526.0;842.0;27.0;db;;;
N-GLHOK-5-16B1;16 B-1 cseh hajlított összekötőszem;0.07;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;146.0;1222.0;27.0;db;product/D-GLHOK-1.png;;
N-GLPSZ-7-16B1;16 B-1 patentszem;0.07;Kg.;product/N-GLPSZ-1.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Egyenes;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;151.0;1473.0;27.0;db;product/D-GLPSZ-1.png;;
N-GL-7-16B1;16 B-1 görgőslánc;2.71;Kg.;product/N-GL-1.png;Görgősláncok;Prémium;Görgőslánc;Acél;;Tömör;;25,400;17,02;15,88;;;;;;;;;;;;;16B1: 1 soros, 25,400 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;84.964;10657.0;27.0;m;product/D-GL-1.png;;
N-GLHOK-7-16B1;16 B-1 hajlított összekötőszem;0.07;Kg.;product/N-GLHOK-1.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Hajlított;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;302.0;2343.0;27.0;db;product/D-GLHOK-1.png;;
N-GL-5-16B1;16 B-1 cseh görgőslánc;2.71;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,400;17,02;15,88;;;;;;;;;;;;;16B1: 1 soros, 25,400 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;83.46;7657.0;27.0;m;product/D-GL-1.png;;
N-GL-1-16B1;16 B-1 görgőslánc;2.71;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;25,400;17,02;15,88;;;;;;;;;;;;;16B1: 1 soros, 25,400 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;473.0;5241.5;27.0;m;product/D-GL-1.png;;
N-GL-4-16B1;16 B-1 görgőslánc;2.71;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,400;17,02;15,88;;;;;;;;;;;;;16B1: 1 soros, 25,400 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;461.77;7657.0;27.0;m;product/D-GL-1.png;;
N-GL-2-16B1;16 B-1 görgőslánc;2.71;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;25,400;17,02;15,88;;;;;;;;;;;;;16B1: 1 soros, 25,400 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;35.0;5241.5;27.0;m;product/D-GL-1.png;;
N-GLPSZ-4-16B1;16 B-1 patentszem;0.07;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;399.0;765.0;27.0;db;product/D-GLPSZ-1.png;;
N-GLPSZ-1-16B1;16 B-1 patentszem;0.07;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;1189.0;522.5;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-1-16B1;16 B-1 hajlított összekötőszem;0.07;Kg.;product/N-GLHOK-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Hajlított;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;624.0;731.5;27.0;db;product/D-GLHOK-1.png;;
N-GLHOK-4-16B1;16 B-1 hajlított összekötőszem;0.07;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;25,400;;;8,28;41,5;;;;;;;;;;;16B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 25,400 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;462.0;1222.0;27.0;db;product/D-GLHOK-1.png;;
N-GL-3-208B1;208 B-1 nyújtott osztású görgőslánc;0.45;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;25,4;7,75;8,51;;;;;;;;;;;;;208B1: 1 soros, 25,4 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;244.0;2072.4;27.0;m;product/D-GL-1.png;;
N-GLPSZ-3-208B1;208 B-1 nyújtott osztású patentszem;0.011;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;25,4;;;4,45;18,2;;;;;;;;;;;208B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,4 mm., csaphosszúság: 18,2 mm., csapátmérő: 4,45 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;52.0;204.6;27.0;db;product/D-GLPSZ-1.png;;
N-GLPSZ-4-208B1;208 B-1 nyújtott osztású patentszem;0.011;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;25,4;;;4,45;18,2;;;;;;;;;;;208B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 25,4 mm., csaphosszúság: 18,2 mm., csapátmérő: 4,45 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;276.0;204.6;27.0;db;product/D-GLPSZ-1.png;;
N-GL-4-216B1;216 B-1 nyújtott osztású görgőslánc;1.74;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;50,8;17,02;15,88;;;;;;;;;;;;;216B1: 1 soros, 50,8 mm. osztású, 17,02 mm belső hevedertávolságú, 15,88 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;43.0;7461.3;27.0;m;product/D-GL-1.png;;
N-GLPSZ-4-216B1;216 B-1 nyújtott osztású patentszem;0.09;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;50,8;;;8,28;41,5;;;;;;;;;;;216B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 50,8 mm., csaphosszúság: 41,5 mm., csapátmérő: 8,28 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;153.0;908.6;27.0;db;product/D-GLPSZ-1.png;;
