product.sku;product_description.name.hu;product.weight;product.weight_class_id;product.image;product_to_category.category_name;product.manufacturer_id;product.product_class_id;attr_values.anyag.hu;attr_values.rogzites.hu;attr_values.csaptipus.hu;attr_values.szemforma.hu;attr_values.osztas;attr_values.belsoheveder;attr_values.gorgoatmero;attr_values.csapatmero;attr_values.csaphossz;attr_values.huvelyatmero;attr_values.fogszam;attr_values.fogedzett.hu;attr_values.kivitel.hu;attr_values.hevederek_szama.hu;attr_values.lanckerektipus.hu;attr_values.feluletkezeles.hu;product_special.price;product_special.date_start;product_special.date_end;product_description.short_description.hu;product.quantity_2;product.alapar;product.tax_class_id;product_description.quantity_name.hu;product_image.image.0;attr_values.huzal_atmero;attr_values.belso_hossz
N-GLPSZ-5-28A1;28 A-1 cseh patentszem;0.33;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;79.0;2667.0;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-5-28A1;28 A-1 cseh hajlított összekötőszem;0.33;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;49.0;4739.0;27.0;db;product/D-GLHOK-1.png;;
N-GL-6-28A1;28 A-1 cseh görgőslánc;7.5;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;44,45;25,22;25,4;;;;;;;;;;;;;28A1: 1 soros, 44,45 mm. osztású, 25,22 mm belső hevedertávolságú, 25,4 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;35.0;28424.0;27.0;m;product/D-GL-1.png;;
N-GL-4-28A1;28 A-1 görgőslánc;7.5;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;44,45;25,22;25,4;;;;;;;;;;;;;28A1: 1 soros, 44,45 mm. osztású, 25,22 mm belső hevedertávolságú, 25,4 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;45.0;28424.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-4-28A1;28 A-1 patentszem;0.33;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;32.0;2667.0;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-4-28A1;28 A-1 hajlított összekötőszem;0.33;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;14.0;4739.0;27.0;db;product/D-GLHOK-1.png;;
N-GL-1-28A1;28 A-1 görgőslánc;7.5;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;44,45;25,22;25,4;;;;;;;;;;;;;28A1: 1 soros, 44,45 mm. osztású, 25,22 mm belső hevedertávolságú, 25,4 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;19.0;20862.6;27.0;m;product/D-GL-1.png;;
N-GLPSZ-1-28A1;28 A-1 patentszem;0.33;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;110.0;2090.0;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-1-28A1;28 A-1 hajlított összekötőszem;0.33;Kg.;product/N-GLHOK-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Hajlított;44,45;;;12,7;59,3;;;;;;;;;;;28A1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 44,45 mm., csaphosszúság: 59,3 mm., csapátmérő: 12,7 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;45.0;2926.0;27.0;db;product/D-GLHOK-1.png;;
N-GL-3-28A1;28 A-1 görgőslánc;7.5;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;44,45;25,22;25,4;;;;;;;;;;;;;28A1: 1 soros, 44,45 mm. osztású, 25,22 mm belső hevedertávolságú, 25,4 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;50.0;20863.0;27.0;m;product/D-GL-1.png;;
N-KR-5-12B1_Z16_G;"KR 12 B-1 Z=16 agyas lánckerék ""G""";1.31;Kg.;product/N-KR-1_G.png;Lánckerekek;Európai;Lánckerék;;;;;;;;;;;16;Fogedzett;;;Agyas lánckerék;;;;;"12B1 fogedzett, egysoros, 16 fogú agyas lánckerék. <p style='color: red;'>Amennyiben a lánckereket megmunkálva kívánja beszerezni, vegye fel a kapcsolatot munkatársunkkal!</p><p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>";4.0;3225.6;27.0;db;product/D-KR-1.png;;
N-GL-7-12B2;12 B-2 görgőslánc;2.5;Kg.;product/N-GL-2.png;Görgősláncok;Prémium;Görgőslánc;Acél;;Tömör;;19,050;11,68;12,07;;;;;;;;;;;;;12B2: 2 soros, 19,050 mm. osztású, 11,68 mm belső hevedertávolságú, 12,07 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;85.45;14893.0;27.0;m;product/D-GL-2.png;;
